Country_std,WVS_Q57__Unnamed: 0,WVS_Q57__Unnamed: 1,WVS_Q57__Most people can be trusted,WVS_Q57__Need to be very careful,WVS_Q57__Don't know,GINI__Country,GINI__Code,GINI__LatestYear,GINI__LatestValue,WVS_Q61__Unnamed: 0,WVS_Q61__Unnamed: 1,WVS_Q61__Some or much trust,WVS_Q61__Little or no trust at all,WVS_Q61__Other missing; Refused,WVS_Q117__Unnamed: 0,WVS_Q117__Unnamed: 1,WVS_Q117__None of them,WVS_Q117__Few of them,WVS_Q117__None_or_few,WVS_Q117__Most of them,WVS_Q117__All of them,WVS_Q117__Most_or_all,WVS_Q117__Don't know,WVS_Q117__No answer,WVS_Q117__Missing; Not available,WVS_Q117__Missing; Not available.1,WVS_Q207__Unnamed: 0,WVS_Q207__Unnamed: 1,WVS_Q207__Daily,Polarization
Kazakhstan,Kazakhstan,1276,22.8,72.6,2.4,Kazakhstan,KAZ,2021,29.2,Kazakhstan,1276,19.8,78.8,1.4,Kazakhstan,1276,18.5,41.4,59.9,14.4,5.6,20,15.8,4.4,0,0,Kazakhstan,1276,33.7,45.04
Kenya,Kenya,1266,9.5,89.4,0.6,Kenya,KEN,2022,37.7,Kenya,1266,25,73.8,1.2,Kenya,1266,20.9,50,70.9,17.5,8.5,26,2.6,0.5,0,0,Kenya,1266,60,51.75
Lebanon,Lebanon,1200,9.9,90.1,0,Lebanon,LBN,2022,35.3,Lebanon,1200,22.6,77.2,0.2,Lebanon,1200,8.6,35.8,44.4,38.2,14.6,52.8,2.7,0.2,0,0.2,Lebanon,1200,55.2,59.88999999999999
Libya,Libya,1196,9.1,89.2,1.1,Libya,LBY,NA,NA,Libya,1196,24.8,74.4,0.8,Libya,1196,5,34.9,39.9,36.1,12.5,48.6,10.5,0.8,0.3,0.5,Libya,1196,64.5,NA
Malaysia,Malaysia,1313,19.6,80.4,0,Malaysia,MYS,2021,40.7,Malaysia,1313,14.9,85.1,0,Malaysia,1313,9.6,58.9,68.5,26.1,5.4,31.5,0,0,0,0,Malaysia,1313,70.1,54.760000000000005
Maldives,Maldives,1039,21.1,77.8,0.2,Maldives,MDV,2019,29.3,Maldives,1039,15,84.2,0.8,Maldives,1039,4.1,44.8,48.9,36.1,13.9,50,0.8,0.3,0.1,0.1,Maldives,1039,82.3,56.19
Mexico,Mexico,1741,10.5,89.4,0.2,Mexico,MEX,2022,43.5,Mexico,1741,13.1,86.9,0,Mexico,1741,5.5,41.5,47,26.5,24,50.5,2.6,0,0,0,Mexico,1741,33.1,63.46
Mongolia,Mongolia,1638,26,73.7,0.3,Mongolia,MNG,2022,31.4,Mongolia,1638,27.1,72.9,0,Mongolia,1638,18.1,42.1,60.2,26.7,13.2,39.9,0,0,0,0,Mongolia,1638,53.4,50.71000000000001
Morocco,Morocco,1200,16.5,83.5,0,Morocco,MAR,2013,39.5,Morocco,1200,28.1,71.9,0,Morocco,1200,8.8,48.2,57,37.1,6,43.1,0,0,0,4.9,Morocco,1200,69.7,55.86
Myanmar,Myanmar,1200,15.1,84.9,0,Myanmar,MMR,2017,30.7,Myanmar,1200,41.3,58.7,0,Myanmar,1200,18.2,60.4,78.6,13.3,8.1,21.4,0,0,0,0,Myanmar,1200,33.9,44.35000000000001
