country_name,country_id,year,v2x_libdem_x,v2x_polyarchy,libdem_0_100,polyarchy_0_100,key,v2x_libdem_y,v2x_libdem_2014,delta_libdem,delta_libdem_0_100,Reading_0_100,Math_0_100,Science_0_100,Enrollment,EParticipation,Media_Access,IT,v_MLI,WVS_Q57__Unnamed: 0,WVS_Q57__Unnamed: 1,WVS_Q57__Most people can be trusted,WVS_Q57__Need to be very careful,WVS_Q57__Don't know,GINI__Country,GINI__Code,GINI__LatestYear,GINI__LatestValue,WVS_Q61__Unnamed: 0,WVS_Q61__Unnamed: 1,WVS_Q61__Some or much trust,WVS_Q61__Little or no trust at all,WVS_Q61__Other missing; Refused,WVS_Q117__Unnamed: 0,WVS_Q117__Unnamed: 1,WVS_Q117__None of them,WVS_Q117__Few of them,WVS_Q117__None_or_few,WVS_Q117__Most of them,WVS_Q117__All of them,WVS_Q117__Most_or_all,WVS_Q117__Don't know,WVS_Q117__No answer,WVS_Q117__Missing; Not available,WVS_Q117__Missing; Not available.1,WVS_Q207__Unnamed: 0,WVS_Q207__Unnamed: 1,WVS_Q207__Daily,Polarization,Polarization_Level
Nigeria,45,2024,0.315,0.502,31.5,50.2,nigeria,0.315,0.386,-0.071,-7.1000000000000005,,,,9.74153350922586,36.99,67.56091688104499,,49.514764275079806,Nigeria,1237.0,13.0,86.4,0.5,Nigeria,NGA,2022.0,33.9,Nigeria,1237.0,26.6,73.2,0.1,Nigeria,1237.0,5.5,51.0,56.5,31.7,9.1,40.8,2.6,0.0,0.0,0.0,Nigeria,1237.0,33.3,50.43,Medium Polarization
Philippines,46,2024,0.308,0.435,30.8,43.5,philippines,0.308,0.428,-0.12,-12.0,24.33,25.67,26.0,47.4134996154186,72.6,73.04828204200797,4.0,50.224337759115976,Philippines,1200.0,5.3,94.5,0.0,Philippines,PHL,2023.0,39.3,Philippines,1200.0,26.9,73.1,0.0,Philippines,1200.0,18.9,54.2,73.1,20.6,6.2,26.8,0.1,0.0,0.0,0.0,Philippines,1200.0,32.4,47.64999999999999,Medium Polarization
Tanzania,47,2024,0.368,0.415,36.8,41.5,tanzania,0.368,0.397,-0.029,-2.9000000000000026,,,,4.01880979537964,,,,4.01880979537964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,48,2024,0.7,0.8,70.0,80.0,taiwan,0.7,0.681,0.0189999999999999,1.8999999999999904,52.5,57.83,56.17,,,,,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,49,2024,0.289,0.389,28.9,38.9,thailand,0.289,0.118,0.1709999999999999,17.099999999999998,29.67,32.17,34.83,44.9845744019321,75.33999999999999,69.62329396967561,,55.479448609066736,Thailand,1500.0,28.9,65.6,0.0,Thailand,THA,2023.0,33.5,Thailand,1500.0,27.0,72.2,0.8,Thailand,1500.0,14.4,53.1,67.5,26.0,3.6,29.6,2.9,0.0,0.0,0.6,Thailand,1500.0,49.0,42.56,Low Polarization
Uganda,50,2024,0.201,0.272,20.1,27.200000000000003,uganda,0.201,0.251,-0.0499999999999999,-4.999999999999999,,,,4.61899995803833,43.84,55.19508845011037,,41.776746728846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,51,2024,0.049,0.197,4.9,19.7,venezuela,0.049,0.101,-0.052,-5.2,,,,78.2699203491211,21.92,,,55.72995220947266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,52,2024,0.329,0.501,32.9,50.1,benin,0.329,0.485,-0.1559999999999999,-15.599999999999998,,,,10.2350101470947,36.99,,,20.937006088256823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,53,2024,0.454,0.561,45.4,56.10000000000001,bhutan,0.454,0.481,-0.0269999999999999,-2.6999999999999966,,,,13.011259392916,49.32,,19.5,25.239111168392576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,54,2024,0.129,0.156,12.9,15.6,burkina faso,0.129,0.424,-0.295,-29.5,,,,10.0419678526515,21.92,,,14.7931807115909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
