Country,Reading_0_100,Math_0_100,Science_0_100,Enrollment,EParticipation,Media_Access,IT,v_MLI,v_MLI_check,missing_any,missing_which,over_100_vMLI,over_100_vMLI_check
Iran,NA,NA,NA,58.6677703857422,NA,NA,NA,58.6677703857422,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Belgium,46.33,48.17,48.33,82.1475601196289,50.68,NA,56.7,58.05772336324056,NA,TRUE,Media_Access,FALSE,NA
Kazakhstan,31,37.5,37.17,53.4564204414133,84.93,77.26421070357966,21.8,57.98064734764386,NA,FALSE,,FALSE,NA
Portugal,46,45.17,47.33,77.6778182983398,64.38000000000001,NA,49.7,57.641121241251625,NA,TRUE,Media_Access,FALSE,NA
Mexico,35.83,32.5,34.83,47.474681854248,73.97,76.1527352378011,37.8,57.50029637325764,NA,FALSE,,FALSE,NA
Tunisia,NA,NA,NA,38.1219482421875,45.21,75.83239971495578,18.5,56.563002829747255,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100,FALSE,NA
Venezuela,NA,NA,NA,78.2699203491211,21.92,NA,NA,55.72995220947266,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Israel,45.5,42.83,44,55.8351593017578,69.86,NA,68,55.54628982543945,NA,TRUE,Media_Access,FALSE,NA
Czech Republic,48,47.67,49.5,66.7282867431641,58.9,NA,53.7,55.5462383524577,NA,TRUE,Media_Access,FALSE,NA
Thailand,29.67,32.17,34.83,44.9845744019321,75.33999999999999,69.62329396967561,NA,55.479448609066736,NA,TRUE,IT,FALSE,NA
Ghana,NA,NA,NA,22.0958254757285,53.42,68.4740978585423,NA,55.45540456119415,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA
Taiwan,52.5,57.83,56.17,NA,NA,NA,NA,54.3,NA,TRUE,Enrollment|EParticipation|Media_Access|IT,FALSE,NA
Macao SAR China,51.67,58.5,57.17,NA,NA,NA,NA,54.136,NA,TRUE,Enrollment|EParticipation|Media_Access|IT,FALSE,NA
India,NA,NA,NA,34.4184659748952,65.75,58.58529781475298,NA,54.11059849559304,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA
Liechtenstein,NA,NA,NA,46.0189590454102,65.75,NA,NA,53.91137542724612,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Libya,NA,NA,NA,58.543701171875,1.37,65.2958733859513,NA,53.90293004640272,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA
Slovak Republic,NA,NA,NA,53.417610168457,NA,NA,NA,53.417610168457,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Indonesia,26.33,27.5,30.33,44.8813034886441,79.45,66.29209457147545,NA,53.372259279874214,NA,TRUE,IT,FALSE,NA
South Korea,52.5,54.5,54.5,NA,NA,NA,NA,53.3,NA,TRUE,Enrollment|EParticipation|Media_Access|IT,FALSE,NA
Kyrgyz Republic,NA,NA,NA,53.1743590503791,NA,NA,NA,53.1743590503791,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Monaco,NA,NA,NA,77.4806900024414,15.07,NA,NA,52.51641400146484,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Mongolia,29.67,37.33,35.33,69.044059753418,78.08,NA,NA,52.496217926025395,NA,TRUE,Media_Access|IT,FALSE,NA
Kenya,NA,NA,NA,10.4185962462804,52.05,68.19802220386025,NA,52.379997413055634,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA
Morocco,23.17,27.33,27.5,48.1839617510572,43.84,78.44870141777577,30.8,52.28807482976889,NA,FALSE,,FALSE,NA
Bulgaria,34,36.17,36.67,79.8532333374023,67.12,NA,38,52.05330833435058,NA,TRUE,Media_Access,FALSE,NA
Oman,NA,NA,NA,43.8433613964625,65.75,NA,50,51.86144059848394,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access,FALSE,NA
Azerbaijan,27.5,32.67,30,41.3413783372226,49.32,79.0879777909832,17.2,51.74689786697667,NA,FALSE,,FALSE,NA
Hong Kong SAR China,49.83,NA,53.33,NA,NA,NA,NA,50.705,NA,TRUE,Math_0_100|Enrollment|EParticipation|Media_Access|IT,FALSE,NA
Philippines,24.33,25.67,26,47.4134996154186,72.6,73.04828204200797,4,50.224337759115976,NA,FALSE,,FALSE,NA
