Country,Reading_0_100,Math_0_100,Science_0_100,Enrollment,EParticipation,Media_Access,IT,v_MLI,v_MLI_check,missing_any,missing_which,over_100_vMLI,over_100_vMLI_check
Cayman Islands,NA,NA,NA,33.0195503234863,NA,NA,NA,33.0195503234863,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Tajikistan,NA,NA,NA,35.6398418742497,27.4,NA,NA,32.34390512454982,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Jamaica,34.83,NA,33.67,26.2334142821948,43.84,NA,24,32.04911298605313,NA,TRUE,Math_0_100|Media_Access,FALSE,NA
Timor-Leste,NA,NA,NA,30.9611108169641,32.879999999999995,NA,NA,31.728666490178465,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Guatemala,29,24,28.67,27.2948879201171,46.58,NA,NA,31.47146637603513,NA,TRUE,Media_Access|IT,FALSE,NA
Ethiopia,NA,NA,NA,5.9192507771213,16.439999999999998,43.19752227384594,NA,30.478302347856264,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA
British Virgin Islands,NA,NA,NA,29.5605306799337,NA,NA,NA,29.5605306799337,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Sri Lanka,NA,NA,NA,20.7412633848006,41.099999999999994,NA,NA,28.884758030880356,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Antigua and Barbuda,NA,NA,NA,25.1156271899089,34.25,NA,NA,28.76937631394534,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Honduras,NA,NA,NA,25.3231382609304,30.14,NA,NA,27.24988295655824,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Togo,NA,NA,NA,14.9029897765252,45.21,NA,NA,27.02579386591512,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Cameroon,NA,NA,NA,16.6614294830602,42.47,NA,NA,26.98485768983612,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Guinea,NA,NA,NA,10.8547201156616,50.68,NA,NA,26.784832069396963,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
"Korea, Dem. People's Rep.",NA,NA,NA,26.7206192016602,NA,NA,NA,26.7206192016602,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Namibia,NA,NA,NA,26.1092654658031,27.4,NA,NA,26.625559279481863,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Senegal,NA,NA,NA,15.3302400879779,42.47,NA,NA,26.186144052786737,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Palestinian Territories,24.83,27.5,28,NA,NA,NA,NA,25.998,NA,TRUE,Enrollment|EParticipation|Media_Access|IT,FALSE,NA
El Salvador,27.33,23.83,28.83,32.8347079463918,38.36,NA,0,25.822843653264616,NA,TRUE,Media_Access,FALSE,NA
Turks and Caicos Islands,NA,NA,NA,25.2537080405933,NA,NA,NA,25.2537080405933,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Bhutan,NA,NA,NA,13.011259392916,49.32,NA,19.5,25.239111168392576,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access,FALSE,NA
Guyana,NA,NA,NA,26.4315792489043,21.92,NA,NA,24.62694754934258,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Cape Verde,NA,NA,NA,24.2905954414767,NA,NA,NA,24.2905954414767,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Belize,NA,NA,NA,24.8098643151325,23.29,NA,NA,24.2019185890795,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Botswana,NA,NA,NA,21.4087908549348,27.4,NA,NA,23.80527451296088,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
St. Vincent and the Grenadines,NA,NA,NA,23.6186294555664,NA,NA,NA,23.6186294555664,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Nauru,NA,NA,NA,NA,23.29,NA,NA,23.29,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Enrollment|Media_Access|IT,FALSE,NA
Curacao,NA,NA,NA,23.0842005676443,NA,NA,NA,23.0842005676443,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Small states,NA,NA,NA,22.8753509521484,NA,NA,NA,22.8753509521484,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Vanuatu,NA,NA,NA,4.87792015075684,46.58,NA,NA,21.558752090454107,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Nepal,NA,NA,NA,21.2915596292014,21.92,NA,NA,21.54293577752084,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Bahamas,NA,NA,NA,14.8425798416138,31.51,NA,NA,21.50954790496828,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Benin,NA,NA,NA,10.2350101470947,36.99,NA,NA,20.937006088256823,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Samoa,NA,NA,NA,14.6106638814429,30.14,NA,NA,20.822398328865734,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Seychelles,NA,NA,NA,14.5342502593994,30.14,NA,NA,20.77655015563964,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Trinidad and Tobago,NA,NA,NA,11.8308000564575,32.879999999999995,NA,NA,20.2504800338745,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
American Samoa,NA,NA,NA,19.6201190948486,NA,NA,NA,19.6201190948486,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Eswatini,NA,NA,NA,6.43545771863543,38.36,NA,NA,19.205274631181258,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Myanmar,NA,NA,NA,20.3723297119141,16.439999999999998,NA,NA,18.79939782714846,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Bermuda,NA,NA,NA,17.3357105255127,NA,NA,NA,17.3357105255127,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Dominica,NA,NA,NA,6.9480299949646,30.14,NA,NA,16.22481799697876,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Kiribati,NA,NA,NA,4.96087980270386,32.879999999999995,NA,NA,16.128527881622315,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Madagascar,NA,NA,NA,6.1466638463036,30.14,NA,NA,15.74399830778216,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Chad,NA,NA,NA,4.39665967267065,31.51,NA,NA,15.24199580360239,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Gambia,NA,NA,NA,13.4765901565552,17.810000000000002,NA,NA,15.20995409393312,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
St. Lucia,NA,NA,NA,15.0396404266357,NA,NA,NA,15.0396404266357,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Laos,NA,NA,NA,14.8841695785522,NA,NA,NA,14.8841695785522,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Burkina Faso,NA,NA,NA,10.0419678526515,21.92,NA,NA,14.7931807115909,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Suriname,NA,NA,NA,4.93785087797966,28.77,NA,NA,14.470710526787796,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Tuvalu,NA,NA,NA,19.3509615384615,6.8500000000000005,NA,NA,14.3505769230769,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Sierra Leone,NA,NA,NA,1.98783004283905,32.879999999999995,NA,NA,14.34469802570343,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Sao Tome and Principe,NA,NA,NA,12.8210802078247,16.439999999999998,NA,NA,14.26864812469482,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Aruba,NA,NA,NA,14.0655418559377,NA,NA,NA,14.0655418559377,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Mali,NA,NA,NA,5.12750941173932,27.4,NA,NA,14.036505647043592,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Turkmenistan,NA,NA,NA,20.4250351701637,4.109999999999999,NA,NA,13.89902110209822,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Micronesia,NA,NA,NA,13.3582201004028,NA,NA,NA,13.3582201004028,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Liberia,NA,NA,NA,10.838520055325,16.439999999999998,NA,NA,13.079112033195,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
IDA only,NA,NA,NA,12.8071804046631,NA,NA,NA,12.8071804046631,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Mozambique,NA,NA,NA,7.4630510423433,20.549999999999997,NA,NA,12.697830625405976,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Burundi,NA,NA,NA,6.02545976638794,21.92,NA,NA,12.383275859832764,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Sudan,NA,NA,NA,15.8645696640015,6.8500000000000005,NA,NA,12.2587417984009,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Lesotho,NA,NA,NA,9.93844298033582,20.549999999999997,NA,6.3,11.93076127728678,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access,FALSE,NA
Cote d'Ivoire,NA,NA,NA,11.5724272130065,NA,NA,NA,11.5724272130065,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
