Country,ISO3C,PressFreedom(i),Education(i),SocietalTrust(i),MediaAccess(i),IT(i),E-Participation(i),vMLI
Senegal,SEN,59.43,NA,NA,NA,NA,42.47,58.370000000000005
Serbia,SRB,53.55,40.166666666666664,19.85,83.24367274391935,42.7,89.03999999999999,53.972718185979836
Seychelles,SYC,68.56,NA,NA,NA,NA,30.14,66.15875000000001
Sierra Leone,SLE,66.36,NA,NA,NA,NA,32.879999999999995,64.2675
Singapore,SGP,45.78,58.416666666666664,26.2,84.68093739544543,NA,95.89,58.72890139057872
Slovakia,SVK,71.93,41.916666666666664,26.3,NA,48,69.86,52.828266666666664
Slovenia,SVN,74.06,45.97333333333333,19.5,NA,52.7,78.08,54.803466666666665
Somalia,SOM,40.49,NA,NA,NA,NA,28.77,39.7575
South Africa,ZAF,75.71,NA,NA,79.45707012517734,12,83.56,74.34744588549056
South Korea,KOR,64.06,53.166666666666664,25.2,NA,NA,NA,53.84
South Sudan,SSD,51.63,NA,NA,NA,NA,10.96,49.088125000000005
Spain,ESP,77.35,45.91833333333333,42.4,NA,58,80.82000000000001,59.435866666666655
Sri Lanka,LKA,39.93,NA,NA,NA,NA,41.099999999999994,40.003125000000004
Sudan,SDN,30.34,NA,NA,NA,NA,6.8500000000000005,28.871875000000003
Suriname,SUR,74.49,NA,NA,NA,NA,28.77,71.6325
Sweden,SWE,88.13,47.72333333333333,68.35,NA,64.3,79.45,68.14533333333333
Switzerland,CHE,83.98,48.36333333333334,54.2,NA,55.8,82.19,64.58773333333333
Syria,SYR,15.82,NA,NA,NA,NA,NA,15.82
Taiwan,TWN,77.04,54,NA,NA,NA,NA,65.52000000000001
Tajikistan,TJK,32.21,NA,15.45,NA,NA,27.4,27.990476190476194
Tanzania,TZA,53.68,NA,NA,NA,NA,NA,53.68
Thailand,THA,56.72,30.94666666666667,27.95,69.62329396967561,NA,75.33999999999999,49.49239535300919
Togo,TGO,48.03,NA,NA,NA,NA,45.21,47.853750000000005
Tonga,TON,68.39,NA,NA,NA,NA,32.879999999999995,66.170625
Trinidad and Tobago,TTO,79.71,NA,NA,NA,NA,32.879999999999995,76.78312499999998
Tunisia,TUN,43.48,NA,22.200000000000003,75.83239971495578,18.5,45.21,50.97328561248421
Turkey,TUR,29.4,43.11333333333334,19.55,NA,NA,NA,33.870000000000005
Turkmenistan,TKM,19.14,NA,NA,NA,NA,4.109999999999999,18.200625000000002
Türkiye,TUR,29.4,43.11333333333334,NA,NA,45.3,86.3,38.21384615384615
Uganda,UGA,37.61,NA,NA,55.19508845011037,NA,43.84,45.54135458338175
Ukraine,UKR,63.93,38.83166666666667,25.7,75.09064145446449,23.8,100,54.88516036361612
United Arab Emirates,ARE,26.91,36.946666666666665,NA,83.35278667458992,62.4,78.08,48.25421852071942
United Kingdom,GBR,78.89,NA,NA,92.7097475154662,62,NA,83.97316703252855
United States,USA,65.487,NA,38.25,87.14727151739095,NA,NA,69.62756596822727
Uruguay,URY,65.18,37.86000000000001,18.45,NA,53,86.3,48.09733333333333
Uzbekistan,UZB,35.24,23.80666666666667,27.35,64.94859344356954,16.5,69.86,38.578348360892385
Venezuela,VEN,29.21,NA,14.6,NA,NA,21.92,25.384285714285713
Vietnam,VNM,19.74,44.026666666666664,29.25,NA,NA,NA,31.507142857142856
Yemen,YEM,31.45,NA,NA,NA,NA,15.07,30.42625
Zambia,ZMB,57.33,NA,NA,64.5238108566079,NA,41.099999999999994,59.91570651605609
Zimbabwe,ZWE,52.1,NA,14,62.29625822642223,NA,27.4,49.48069336806799
