Country,ISO3C,PressFreedom(i),Education(i),SocietalTrust(i),MediaAccess(i),IT(i),E-Participation(i)
Niger,NER,57.05,,,,6.0,20.549999999999997
Nigeria,NGA,46.81,,19.8,67.56091688104499,,36.99
North Korea,PRK,12.64,,,,,
North Macedonia,MKD,70.44,8.324,21.0,,,57.53
Northern Cyprus,CTU,54.84,,,,,
,,,,44.8,,,
Norway,NOR,92.31,13.750000000000002,69.85,,71.0,86.3
OECS,CSS,68.08,,,,,
Oman,OMN,42.29,,,,50.0,65.75
Pakistan,PAK,29.62,,28.75,51.50753006808301,2.5,49.32
,,,,,,,30.14
Palestine,PSE,27.41,,,,,
Palestinian Territories,PSE,27.41,7.7410000000000005,,,,
Panama,PAN,66.75,,,,,52.05
Papua New Guinea,PNG,58.35,,,,,19.18
Paraguay,PRY,56.84,8.3075,,,35.7,60.27
Peru,PER,42.88,10.2505,6.6,,18.0,75.33999999999999
Philippines,PHL,49.57,7.4495,16.099999999999998,73.04828204200797,4.0,72.6
Poland,POL,74.79,14.491500000000002,24.950000000000003,,45.7,75.33999999999999
Portugal,PRT,84.26,13.825000000000001,26.05,,49.7,64.38000000000001
,,,,21.6,,,
Qatar,QAT,58.25,11.017000000000001,,,32.2,47.949999999999996
,,,,,,,97.26
,,,,,,,72.6
Romania,ROU,66.42,11.383000000000001,11.95,,44.0,68.49
Russia,RUS,24.57,,22.5,,,
,,,,,,31.2,64.38000000000001
Rwanda,RWA,35.84,,,57.94976714510452,,75.33999999999999
,,,,,,,20.549999999999997
,,,,,,,13.700000000000001
,,,,,,,34.25
Samoa,WSM,69.28,,,,,30.14
,,,,,,,12.33
,,,,,,,16.439999999999998
Saudi Arabia,SAU,27.94,9.216000000000001,,75.26975379537316,82.0,95.89
Senegal,SEN,59.43,,,,,42.47
Serbia,SRB,53.55,12.05,19.85,83.24367274391935,42.7,89.03999999999999
Seychelles,SYC,68.56,,,,,30.14
Sierra Leone,SLE,66.36,,,,,32.879999999999995
Singapore,SGP,45.78,17.525000000000002,26.2,84.68093739544543,,95.89
Slovakia,SVK,71.93,12.575000000000001,26.3,,48.0,69.86
Slovenia,SVN,74.06,13.792000000000002,19.5,,52.7,78.08
,,,,,,,36.99
Somalia,SOM,40.49,,,,,28.77
South Africa,ZAF,75.71,,,79.45707012517734,12.0,83.56
South Korea,KOR,64.06,15.95,25.2,,,
South Sudan,SSD,51.63,,,,,10.96
Spain,ESP,77.35,13.775500000000001,42.4,,58.0,80.82000000000001
Sri Lanka,LKA,39.93,,,,,41.099999999999994
Sudan,SDN,30.34,,,,,6.8500000000000005
Suriname,SUR,74.49,,,,,28.77
Sweden,SWE,88.13,14.317,68.35,,64.3,79.45
Switzerland,CHE,83.98,14.509000000000002,54.2,,55.8,82.19
Syria,SYR,15.82,,,,,
,,,,,,,6.8500000000000005
Taiwan,TWN,77.04,16.200000000000003,,,,
,,,,28.05,,,
Tajikistan,TJK,32.21,,15.450000000000001,,,27.400000000000002
Tanzania,TZA,53.68,,,,,
Thailand,THA,56.72,9.284,27.95,69.62329396967561,,75.33999999999999
,,,,,,,32.879999999999995
Togo,TGO,48.03,,,,,45.21
Tonga,TON,68.39,,,,,32.879999999999995
,,,,28.7,,,
Trinidad and Tobago,TTO,79.71,,,,,32.879999999999995
Tunisia,TUN,43.48,,22.200000000000003,75.83239971495578,18.5,45.21
Turkey,TUR,29.4,12.934000000000001,19.55,,,
Turkmenistan,TKM,19.14,,,,,4.109999999999999
,,,,,,,6.8500000000000005
Türkiye,TUR,29.4,,,,45.3,86.3
Uganda,UGA,37.61,,,55.19508845011037,,43.84
Ukraine,UKR,63.93,11.6495,25.7,75.09064145446449,23.8,100.0
United Arab Emirates,ARE,26.91,11.084000000000001,,83.35278667458992,62.4,78.08
United Kingdom,GBR,78.89,,,92.7097475154662,62.0,
,,,,,,,97.26
,,,,,,,28.77
United States,USA,65.487,,38.25,87.14727151739095,,
,,,,,,,94.52000000000001
Uruguay,URY,65.18,11.358,18.45,,53.0,86.3
Uzbekistan,UZB,35.24,7.142,27.35,64.94859344356954,16.5,69.86
,,,,,,,46.58
Venezuela,VEN,29.21,,14.6,,,21.92
,,,,,,,60.27
Vietnam,VNM,19.74,13.208000000000002,29.25,,,
Yemen,YEM,31.45,,,,,15.07
Zambia,ZMB,57.33,,,64.5238108566079,,41.099999999999994
Zimbabwe,ZWE,52.1,,14.0,62.29625822642223,,27.400000000000002
